"ID","Category","Title","Ingredients","Method","Date"
"2613","antipasti stuzzichini","Astice in insalata e fois gras","1 astice-fois gras-soncino-olio-aceto di Chardonnay-sale-pepe","Lessare l'astice nel classico cout bouillon. Poi tagliare la coda a pezzi e togliere la polpa dalle chele. Fare una vinaigrette con olio, sale, pepe e aceto di vino bianco Chardonnay. Condire l'insalatina poi comporre il piatto con sotto l'insalata, sopra l'aragosta e quindi una quenelle di fois gras, condire ancora con qualche goccia di vinaigrette.","18/4/2019"
"2614","antipasti stuzzichini","Arancini di riso alla Siciliana","riso-brodo carne-zafferano-farina-pan-pesto- x Rag&#249;: trita manzo-cipolla-sedano-carota-pomodori-piselli-olio","Fare un risotto con il brodo di carne e lo zafferano poi lasciarlo raffreddare. Lo stesso vale per il rag&#249;. Il rag&#249; si fa in modo classico con l'aggiunta di piselli. Farcire le manciate di riso richiudendo bene a palla, poi passare in una pastella piuttosto liquida, quindi nel pan pesto. Friggere in abbondante olio. Servire sia caldi che freddi. A Palermo si chiamano arancine.","8/11/2006"
"2615","piatti etnici","Aringa in pelliccia  (antipasto)       Russia","aringhe affumicate-maionese-cipolla bianca-barbabietola","In una citola grande o in ciotole pi&#249; piccole individuali fare uno strato di cipolle crude affettate sottilmente e mescolate con un po' di maionese, poi uno strato di maionese, uno di aringhe tagliate a pezzetti, ancora maionese e per finire la barbabietola grattata. Volendo si possono anche unire dadini di mela o noci sbriciolate. Questo antipastao &#232; molto in uso in  Russia.","5/4/2007"
"2616","antipasti stuzzichini","Astice in insalata di frutta","1 astice-3 fette ananas-1 avocado-lattuga-olio-sale-pepe-lime-gocce di Tabasco verde","Lessare l'astice poi raffreddare, (anche sotto l'acqua fredda), pulire e conservare la polpa e la coda intera e divisa a met&#224; per lungo. In una ciotola mettere l'avocado tagliato a dadini con un po' di lime, l'ananas anch'esso a dadini e qualche foglia di lattuga tagliata, il tutto condito con una vinaigrette fatta con olio, sale, pepe, tabasco verde e poco lime. Servire l'insalata su un letto di foglie di lattuga, sopra disporre le mezze code di astice passate nella vinaigrette.","5/9/2007"
"2617","antipasti stuzzichini","Baccal&#224; mantecato","baccal&#224;-panna-prezzemolo-cipolla- olio","Dopo aver tenuto a bagno il baccal&#224; x 2 gg. in acqua fredda corrente (o comperarlo gi&#224; ammollato). Scolarlo, asciugarlo, tagliarlo a pezzetti e cuocerlo in padella con  olio e cipolla rosolata per 10 o 15 minuti. Poi frullare il tutto aggiungendo il prezzemolo ed alla fine un cucchiaio di panna. Servire anche tiepido sotto forma di quenelle con delle verdure ripassate in padella.","5/4/2007"
"2618","antipasti stuzzichini","Barchette agli asparagi","pasta bris&#233;e-asparagi-4 uova-50 grana-50 panna-erba cipollina-prezzemolo-maionese-pomodoro-soncino","Fare una pasta bris&#233;e con 250 farina, 100 burro e acqua ghiacciata q.b. Riposare x 1 h. nel frigo poi stendere sottile e foderare gli stampini. Bucare la pasta con uno stecco e cuocere in forno a 180&#176; x 8-10 minuti. Intanto sbattere le uova con il grana, la panna, e il pepe. Cuocere lentamente, a bagnomaria, finch'&#233; si rapprende. Quindi unire gli asparagi fatti cuocere a vapore e tagliati a pezzettini, il prezzemolo e l'erba cipollina tritati. Farcire le barchette, cotte e spalmate di un velo di maionese, con questa crema, decorare con le punte di asparagi che avremo tenuto da parte, e qualche dadino di pomodoro. Presentare su un letto di soncino condito con una vinaigrette.","25/7/2009"
"2619","antipasti stuzzichini","Bavarese di pomodoro","300 gr.pomodori costoluti-200 panna-12 gr. gelatina-succo di 1/2 limone-zenzero-sale-pepe","Scottare e spellare i pomodori costoluti (hanno meno semi) poi in un mixer frullare i pomodori con il succo di mezzo limone e una grattatina di zenzero. Salare, pepare ed unire la gelatina sciolta in acqua fredda e poi strizzata poi la  panna montata, amalgamare e versare in pirottini. Tenere in frigo per qualche ora. Servire capovolti e decorare con insalatina e dadini di pomodoro fresco.","3/5/2007"
"2620","antipasti stuzzichini","Bianchetti al gratin","bianchetti-pan pesto-sale-pepe-prezzemolo-olio-limone","Mescolare al pan pesto il prezzemolo tritato, la scorzetta di limone grattugiata, sale e pepe. In piccole pirofile a porzione, ben unte, fare prima , uno strato di questo impasto, poi di bianchetti , il tutto per un paio di giri, finendo con il trito. Passare in forno a 200&#176; a gratinare per pochi minuti. Servire capovolti al centro del piatto con un filo di olio sopra, fettine di limone attorno, ed un ciuffetto di prezzemolo  per decorare.","15/6/2007"
"2621","antipasti stuzzichini","Bignole salate alle patate","250 acqua-75 burro-200 farina-sale-pepe-500 patate- 3 uova i-50 prosciutto cotto-70 emmental-30 grana-olio-1 c. prezzemolo-1 c. pepe Caienna","Lessare le patate e passare al passapatate. In un tegame portare a bollore l'acqua con il burro poi unire poco per volta la farina e con la frusta fare una palla cuocendo per pochi minuti. Togliere dal fuoco ed intiepidire poi unire uno alla volta le uova sempre sbattendo energicamente. Quindi unire le patate passate, il prosciutto tritato e l'emmental grattato, il grana, il prezzemolo e il pepe di Caienna. Mettere in un sac &#224; poche e fare dei mucchietti su carta forno ed immergere tutto in olio bollente (togliendo la carta dopo pochi istanti) Friggere, scolare, asciugare su carta forno e servire subito.","20/4/2007"
"2622","antipasti stuzzichini","Blinis al grano saraceno","250 farina-acqua-1 c. lievito birra-60 farina grano saraceno-400 latte-2 uova-1 c. yogurt-sale-1c.ino zucchero","Sciogliere il lievito in un po' di acqua, unire 3 c. di farina con la frusta, poi lasciare lievitare x 1 h. Poi unire la farina di grano saraceno e la farina bianca mescolate ed il latte sempre frustando; lasciare lievitare x 1 h. Quindi unire i rossi d'uovo, lo yogurt, il sale, lo zucchero sempre frustando e lasciare lievitare x un'altra ora; alla fine unire i bianchi montati a neve. In una padellina, unta con una noce di burro, fare come delle piccole crepes, cuocendo da ambo le parti. Si farciscono con caviale o verdure miste brasate (tagliate molto piccole e rosolate in padella con un goccio di panna e di formaggio), si piegano in 2 o 4, si posano su una pirofila imburrata e si fanno gratinare in forno x pochi minuti.","20/4/2007"
